airline,airport1,airport2,cnt
all,LAX,LIH,176
all,TYS,MIA,112
all,BIS,CLE,1
all,SFO,MMH,56
all,LGA,IAH,414
all,EWR,TPA,366
all,HNL,LIH,1264
all,JAX,ORD,328
all,JAX,ORF,104
all,BOS,DEN,368
all,CLT,MEM,408
all,PHX,DCA,168
all,MDW,SEA,102
all,BHM,CLT,40
all,GRR,DFW,148
all,LCH,DFW,112
all,HOU,LIT,56
all,EWR,MSY,132
all,DFW,GUC,116
all,EWR,MSN,48
all,BHM,STL,56
all,LAX,SMF,646
all,LGB,OAK,169
all,RAP,SLC,104
all,PSP,LAX,354
all,OGG,SAN,56
all,ORD,AUS,280
all,IAD,DTW,80
all,DFW,PSP,168
all,ABQ,TUS,112
all,LAX,SMX,216
all,ORD,PAH,112
all,STT,EWR,64
all,MDW,PDX,48
all,ALB,FLL,56
all,TOL,ORD,48
all,ATL,BWI,849
all,DSM,DFW,326
all,HOU,MSY,521
all,BRO,DFW,112
all,PHX,CMH,166
all,DFW,CID,264
all,BHM,HOU,104
all,AMA,DEN,111
all,CPR,SLC,108
all,RIC,EWR,248
all,DAL,HOU,1286
all,BOS,MCO,600
all,OAK,ONT,419
all,IND,DCA,2
all,SFO,PDX,392
all,LAS,MDW,439
all,LAX,TUS,497
all,STT,BOS,44
all,IAD,ROA,87
all,CHS,ORD,101
all,IAD,ROC,194
all,BWI,PIT,156
all,DCA,SLC,56
all,STL,TUL,96
all,DFW,LIT,550
all,EYW,MCO,56
all,EWR,IAD,72
all,HDN,ORD,56
all,TYS,DEN,56
all,ELP,SAN,56
all,MCO,MHT,168
all,GRB,MSP,75
all,ELP,SAT,152
all,RNO,IAH,24
all,SYR,ORD,407
all,BNA,DFW,436
all,EWR,BOS,408
all,MCO,PIT,248
all,MSP,BNA,52
all,ATL,SWF,47
all,ATL,MGM,372
all,TUL,EWR,48
all,BHM,DAL,159
all,DEN,FLL,247
all,ORD,SNA,314
all,LAS,EWR,300
all,HSV,DFW,158
all,KOA,DEN,8
all,SAV,ORD,164
all,BUR,SJC,410
all,ORD,CWA,156
all,LGA,MEM,164
all,SFO,IAH,416
all,SFO,IAD,417
all,MSP,GFK,246
all,CVG,LGA,108
all,MCI,DEN,590
all,MCI,STL,244
all,DFW,SNA,578
all,MKE,DFW,278
all,BNA,PHX,152
all,LGA,LAS,2
all,MKE,SRQ,56
all,TPA,LGA,206
all,BWI,IND,158
all,MKG,ORD,120
all,ATL,VLD,158
all,DEN,LGA,360
all,SBA,SFO,430
all,SLC,PIH,216
all,ROC,CLE,102
all,FAR,MSP,254
all,DFW,TPA,392
all,LGA,MSY,152
all,IAD,COS,55
all,GJT,SLC,156
all,SEA,EWR,236
all,BNA,TPA,215
all,ATL,GRR,122
all,JFK,PWM,167
all,SJC,SNA,365
all,DEN,ICT,261
all,CVG,EWR,246
all,DRO,DEN,412
all,BWI,CMH,206
all,BDL,DCA,144
all,ATL,GRK,112
all,IAH,MLU,23
all,DFW,BTR,438
all,MCO,SFO,56
all,MDW,SJC,56
all,CLT,MDT,196
all,IAH,SAV,94
all,MIA,SEA,56
all,JFK,ORD,203
all,PVD,DCA,48
all,ORD,IND,403
all,SFO,SMF,392
all,ORD,PBI,174
all,FSD,ORD,418
all,KOA,SFO,112
all,SJU,ORD,184
all,LAX,MTJ,16
all,MHK,ORD,56
all,MSP,OMA,63
all,RNO,ORD,56
all,JNU,YAK,56
all,ORD,DEN,802
all,SLC,ABQ,354
all,MSP,IAD,4
all,PHX,ATL,584
all,PHX,ANC,56
all,BUF,CLE,46
all,IAH,PHX,582
all,CHS,MIA,112
all,CMH,MDW,311
all,ROC,CLT,56
all,HSV,MCO,56
all,ISP,TPA,140
all,AMA,DFW,179
all,JAN,DCA,29
all,PIT,DTW,14
all,PSG,JNU,56
all,MCI,MSP,128
all,EVV,ORD,166
all,MCI,ORD,619
all,DTW,STL,255
all,FLL,TLH,52
all,ELP,IAH,310
all,ATL,DTW,711
all,FLL,IAD,124
all,FLL,IAH,266
all,OGG,DFW,56
all,MDW,PIT,213
all,BIS,MSP,139
all,RKS,DEN,112
all,AMA,LAS,56
all,MEM,DFW,251
all,COS,MSP,56
all,OAK,HNL,56
all,ATL,DFW,1443
all,SFO,ONT,224
all,JAN,IAH,227
all,BWI,SAN,110
all,JFK,SRQ,112
all,AUS,PHX,430
all,MEM,MGM,154
all,PDX,RNO,104
all,SDF,ORD,56
all,ORD,ABQ,114
all,DFW,PBI,112
all,ABQ,SFO,56
all,CEC,SFO,104
all,TUS,PHX,576
all,DFW,CHS,168
all,DEN,DAY,112
all,FAY,DFW,112
all,EWR,TYS,50
all,DTW,DEN,450
all,FLL,MKE,46
all,BOI,DEN,420
all,SLC,TUS,164
all,SAN,STL,56
all,PHX,IAD,56
all,SLC,TUL,56
all,JFK,OAK,69
all,BMI,MCO,32
all,KOA,ORD,6
all,CVG,IAD,74
all,ATL,MTJ,56
all,BTR,MEM,112
all,DSM,PHX,112
all,COD,DEN,56
all,FNT,RSW,44
all,TPA,PHX,176
all,IAD,TPA,164
all,OKC,DFW,390
all,DTW,SFO,162
all,TPA,DAY,45
all,DCA,LAX,56
all,TXK,DFW,112
all,OMA,IAH,325
all,DCA,LAS,56
all,CIC,SFO,216
all,PHL,MSP,286
all,BWI,LAS,160
all,SYR,PHL,48
all,CAE,ORD,148
all,PHL,DTW,219
all,FLL,HPN,168
all,BWI,ISP,292
all,SAN,HNL,56
all,MBS,ORD,160
all,DEN,JFK,112
all,OMA,EWR,112
all,KTN,WRG,56
all,LAX,MEM,154
all,GRR,RSW,42
all,SHV,DFW,156
all,IAD,BDL,216
all,SFO,LIH,64
all,HNL,PDX,112
all,CVG,JFK,113
all,BWI,PHL,104
all,ORD,FNT,34
all,LAS,OKC,109
all,EGE,IAH,56
all,BNA,CMH,103
all,SNA,EWR,120
all,LAS,MSY,112
all,MEM,LAS,110
all,DFW,JAN,440
all,MDW,MHT,159
all,SLC,COD,112
all,MDW,TUS,112
all,DEN,SMF,522
all,SAN,ORD,462
all,DFW,JAX,216
all,BWI,HOU,157
all,CDV,ANC,56
all,SEA,CVG,42
all,SAN,TUS,209
all,DEN,TUS,534
all,DEN,RAP,322
all,DEN,TUL,372
all,LAX,MSP,338
all,CVG,ORD,526
all,GGG,DFW,56
all,MEM,VPS,134
all,MSP,IND,163
all,BNA,ORD,588
all,IAH,MAF,302
all,BNA,ORF,56
all,KOA,LAX,192
all,SMF,RNO,1
all,PVD,TPA,112
all,DEN,MLI,69
all,FLL,MDT,24
all,DSM,MSP,60
all,MCO,PHX,176
all,MCO,PVD,280
all,VPS,ATL,522
all,GEG,PDX,149
all,MIA,IAD,199
all,DFW,DCA,602
all,MEM,ORD,414
all,DFW,SMF,224
all,MIA,IAH,378
all,GRR,CLE,150
all,MSY,STL,56
all,DCA,MCO,586
all,TVC,ORD,257
all,TRI,ORD,112
all,BWI,DFW,326
all,LAS,RDU,56
all,SAT,IAD,98
all,LNK,ORD,212
all,CLT,SAV,120
all,JFK,SMF,32
all,CLT,SAN,56
all,PHX,BWI,288
all,BDL,MIA,112
all,DFW,JAC,24
all,STT,JFK,64
all,ANC,PDX,104
all,CMH,STL,96
all,RDU,ATL,794
all,ATL,FWA,2
all,MCI,TPA,112
all,BHM,SDF,56
all,TPA,GRR,42
all,MCO,SAT,56
all,AUS,BWI,103
all,DEN,GUC,112
all,MIA,SDF,112
all,PHL,CLE,42
all,FLL,SWF,56
all,OMA,SLC,132
all,SLC,LWS,102
all,BOS,RDU,216
all,MSP,DLH,58
all,ORD,LAS,555
all,BUR,JFK,108
all,TPA,JFK,347
all,ORD,LAX,1050
all,MSP,JFK,55
all,IAH,SMF,164
all,MEM,SLC,122
all,SAT,SFO,56
all,GSP,ORD,78
all,DEN,BNA,255
all,BDL,MCO,392
all,IND,TPA,156
all,OAK,PHX,595
all,MDW,PVD,155
all,OMA,DFW,272
all,DAL,ELP,364
all,PDX,PSP,56
all,SAN,ATL,266
all,DTW,CLT,442
all,SEA,BOS,104
all,EVV,MEM,24
all,PHX,SAT,382
all,RSW,CVG,112
all,IAD,PVD,96
all,BOI,SLC,409
all,DAL,MAF,310
all,ALB,ORD,189
all,LAS,SDF,56
all,MDW,PHL,308
all,PAH,LIT,1
all,DFW,CYS,56
all,ATL,SGF,147
all,FLL,ORD,220
all,SLC,PDX,424
all,ATL,BKG,56
all,MKE,CAK,104
all,MSP,ATL,826
all,EWR,GRR,88
all,CMH,DFW,272
all,OGG,HNL,1720
all,BNA,CLT,354
all,RNO,PHX,393
all,OAK,SNA,371
all,ORD,BOS,938
all,STT,PHL,56
all,ORF,TPA,56
all,GRB,MQT,48
all,DAL,OKC,256
all,SNA,ATL,258
all,STT,SJU,25
all,EWR,RDU,153
all,MSO,DEN,164
all,DFW,COS,278
all,LIT,MDW,56
all,SJU,BOS,191
all,LAX,SAF,56
all,AUS,ELP,198
all,ORD,SLC,494
all,LGA,MCO,456
all,DTW,DFW,325
all,CLE,STL,100
all,DCA,DTW,359
all,AUS,DFW,820
all,BUR,OAK,680
all,SEA,SJC,381
all,GEG,SLC,356
all,SEA,MSP,384
all,BNA,MSY,158
all,DCA,DEN,223
all,BOS,MDW,265
all,BWI,DEN,405
all,STL,CLT,208
all,MYR,EWR,40
all,MIA,RIC,112
all,MSP,GRR,157
all,ORD,SBN,316
all,GJT,DFW,150
all,LEX,IAH,92
all,DTW,MHT,54
all,KOA,OGG,118
all,PHX,CLT,392
all,LAX,EWR,374
all,CLT,GSO,112
all,CID,DEN,94
all,LAS,PIT,112
all,BDL,EWR,27
all,FCA,SLC,166
all,SAV,DFW,112
all,WRG,PSG,56
all,LAX,MDW,267
all,SEA,GEG,280
all,BHM,ATL,582
all,PHL,JAX,212
all,OKC,MEM,48
all,ATL,GPT,278
all,MSP,ABQ,56
all,BHM,BNA,112
all,EWR,SDF,144
all,ABE,FLL,26
all,LSE,ORD,56
all,IND,LAX,36
all,ISP,MDW,152
all,IND,LAS,112
all,HOU,STL,200
all,DEN,GTF,108
all,CAK,RSW,44
all,CLE,BTV,40
all,FLL,STL,56
all,IAD,PWM,143
all,IAH,CAE,94
all,DAY,MSP,60
all,STL,LAX,275
all,DFW,GRK,234
all,EWR,SJU,56
all,LAX,OAK,739
all,AUS,CLT,160
all,MSP,CLE,247
all,RDM,SFO,164
all,LAX,MRY,328
all,FLL,SFO,32
all,MIA,MSY,168
all,SFO,JFK,1026
all,MKE,SFO,56
all,CMH,IAH,115
all,IAH,IND,221
all,CVG,MKE,48
all,AUS,DTW,28
all,BNA,FLL,112
all,CMH,IAD,146
all,MRY,DEN,56
all,PHX,SBA,254
all,FLL,LAS,56
all,KOA,HNL,1268
all,AUS,DAL,610
all,LAS,SEA,610
all,CLT,SRQ,50
all,DTW,OKC,106
all,IAH,EWR,603
all,JAX,LAS,56
all,DEN,MSN,186
all,DEN,MSP,900
all,MEM,MKE,60
all,DEN,MSY,311
all,ATL,CLE,412
all,DEN,MAF,112
all,IAD,SAN,168
all,JFK,SLC,276
all,DFW,SPS,50
all,HNL,SLC,56
all,ATL,ATW,56
all,SAV,IAD,132
all,JNU,SIT,112
all,DFW,BHM,168
all,CLT,MHT,32
all,PHX,LAS,1377
all,MKE,STL,160
all,ATL,STT,84
all,ATL,STX,10
all,MDW,RDU,158
all,COS,ATL,56
all,PHX,ELP,586
all,ATL,STL,576
all,MSN,ATL,56
all,SLC,SAT,152
all,PIT,CLT,460
all,SLC,SAN,270
all,JAN,MCO,56
all,AEX,ATL,260
all,SLC,TWF,225
all,PIT,SFO,56
all,OGG,SFO,120
all,BWI,TPA,482
all,MSP,EGE,4
all,LGB,SMF,112
all,ORD,AVP,220
all,ALB,LAS,56
all,GSO,IAD,126
all,EWR,ORD,1051
all,ATL,BZN,12
all,ATL,TUL,110
all,ATL,TUS,104
all,AUS,HOU,256
all,LAS,MCO,112
all,LAS,MCI,215
all,MIA,JAX,112
all,LAS,PHL,328
all,DCA,MSP,277
all,IAD,ABQ,56
all,BWI,DAY,140
all,SAN,DTW,52
all,BOS,SJC,34
all,CMH,RSW,100
all,LAX,CVG,130
all,DEN,EGE,276
all,DCA,MSN,28
all,ABQ,HOU,152
all,MSP,LEX,32
all,BUF,PHX,56
all,ORD,PSP,88
all,BZN,MSP,58
all,RSW,LGA,154
all,CLE,ORD,717
all,PVD,PHL,395
all,BDL,FLL,280
all,LAX,MCI,103
all,LAX,MCO,248
all,BWI,JAX,318
all,JFK,MSY,147
all,BWI,JAN,56
all,BUF,MCO,314
all,LAX,TPA,52
all,FLL,ATL,1224
all,LAS,TPA,104
all,SJC,ORD,112
all,MDW,ORF,104
all,DEN,FAR,215
all,EUG,PDX,212
all,ECP,ATL,438
all,PIT,MIA,112
all,MIA,STT,112
all,MEM,BWI,90
all,DEN,GEG,307
all,CHS,CLT,248
all,FAI,SCC,28
all,MIA,STX,62
all,ATL,EYW,168
all,MIA,STL,168
all,ATL,ROC,276
all,DEN,IND,323
all,ATL,ROA,214
all,MSP,MIA,168
all,MKE,SEA,55
all,JFK,ATL,372
all,GEG,PHX,112
all,MCO,JFK,916
all,MEM,XNA,152
all,DFW,SAF,112
all,LGA,EGE,8
all,ORD,BTV,184
all,CLT,MIA,584
all,MKE,DEN,330
all,DFW,DAY,160
all,FLL,RIC,56
all,CMH,TPA,112
all,LGB,ORD,56
all,ABQ,LBB,56
all,BOS,FLL,360
all,BWI,SDF,158
all,BOS,ATL,793
all,SGF,DFW,434
all,ELP,HOU,156
all,ROC,TPA,50
all,DTW,MEM,220
all,MEM,RDU,52
all,SLC,EWR,102
all,SAN,PHL,112
all,ABQ,ELP,56
all,ONT,SMF,415
all,ATL,CSG,212
all,SAN,PHX,966
all,DFW,MGM,160
all,DTW,GSP,17
all,HPN,TPA,56
all,LAS,STL,168
all,MEM,TPA,108
all,SFO,MIA,168
all,MLB,ATL,224
all,DTW,MSN,67
all,BOI,PDX,104
all,HOU,JAN,160
all,CLE,GRB,90
all,DTW,MSY,80
all,COS,ORD,228
all,HOU,JAX,56
all,JAN,DTW,50
all,SMF,SNA,326
all,BDL,PHL,48
all,SAT,DTW,75
all,HOU,DEN,326
all,MHT,EWR,208
all,ATL,SEA,321
all,SFO,PHL,264
all,ANC,OTZ,84
all,RDU,CLT,466
all,MKE,BOS,228
all,OGG,SEA,168
all,IAH,MSP,338
all,LGB,SLC,438
all,MIA,JFK,664
all,MCI,MCO,194
all,MSP,TPA,181
all,DEN,BHM,56
all,MLU,MEM,100
all,RNO,LAX,488
all,CMH,JFK,112
all,HPN,MCO,260
all,MSN,MSP,148
all,JAX,MEM,32
all,MSP,RSW,213
all,MSP,RST,37
all,SAT,DFW,826
all,PHX,HNL,152
all,DEN,MOT,108
all,SMF,IAD,56
all,LAS,SFO,966
all,ATL,CAE,578
all,IAD,SLC,56
all,SAN,IAH,318
all,JFK,SYR,189
all,PDX,EWR,56
all,MCI,OAK,56
all,ATL,BMI,370
all,JNU,KTN,56
all,CAK,LGA,111
all,MCO,MLI,32
all,DEN,SJC,404
all,BNA,MCO,270
all,BNA,MCI,159
all,DAL,IAH,295
all,FLL,IND,56
all,ABQ,SEA,111
all,ATL,MCO,1393
all,CLE,TPA,80
all,ATL,MCI,560
all,SLC,OKC,160
all,EGE,JFK,56
all,SLC,MSP,261
all,CLE,MDW,320
all,SLC,MSY,56
all,BOS,LGB,35
all,PHL,BUF,72
all,SLC,RDM,108
all,ORD,OMA,454
all,CHS,ATL,380
all,HOU,OKC,206
all,MCI,EWR,248
all,SEA,OAK,511
all,CLE,CLT,321
all,MIA,MCO,448
all,ONT,SLC,238
all,MSP,SJU,8
all,MCO,TYS,32
all,DTW,MDW,315
all,LAX,IYK,146
all,BOS,CAK,56
all,HOU,MDW,311
all,LAS,LBB,56
all,PSP,SFO,328
all,SMF,ORD,112
all,ONT,DEN,272
all,DEN,JAC,172
all,ATL,OAJ,212
all,DAL,LIT,316
all,COS,LAX,152
all,DFW,GSO,112
all,IAH,LFT,382
all,BHM,MDW,100
all,IAH,RIC,108
all,ORD,MIA,593
all,EWR,CLT,821
all,PHX,DFW,838
all,LEX,MCO,32
all,ICT,MEM,50
all,LAS,HNL,136
all,FLL,SJU,135
all,BNA,LAS,112
all,ACY,ATL,112
all,BNA,LAX,160
all,SJU,PHL,256
all,ABE,MCO,44
all,SEA,LAX,732
all,PHL,IND,64
all,DCA,BUF,24
all,DFW,ELP,434
all,MSP,ANC,56
all,MKE,MSP,458
all,SAN,LAX,1700
all,CHA,DFW,56
all,MKE,MSY,56
all,BNA,CVG,12
all,SJC,PDX,312
all,BFL,LAX,100
all,DAY,MCO,56
all,BOI,SEA,108
all,BTV,IAD,138
all,CWA,EAU,48
all,ATL,HDN,56
all,ORD,BUF,460
all,PIT,IAD,126
all,CVG,MEM,1
all,IND,PHX,212
all,HOU,SAT,257
all,DTW,LAS,316
all,FLL,LGB,50
all,FLL,LGA,610
all,EWR,XNA,80
all,DFW,PNS,276
all,BNA,DTW,263
all,DEN,OAK,309
all,IAH,GUC,42
all,BUF,JFK,368
all,ABQ,STL,56
all,DTW,GRB,27
all,IAH,PBI,206
all,DAL,MSY,369
all,LAX,YUM,268
all,FLL,ISP,168
all,SAN,SJC,479
all,AUS,MDW,103
all,JNU,ANC,168
all,ATL,ABQ,112
all,ANC,SCC,40
all,DEN,MCO,503
all,DCA,ORD,1055
all,FLL,MSY,104
all,CMI,DFW,56
all,MCO,SLC,100
all,IAH,DCA,408
all,SDF,STL,97
all,DFW,CLT,786
all,BOS,JFK,663
all,PHL,DFW,578
all,MCO,CVG,162
all,DEN,HDN,224
all,ATL,FNT,345
all,ATL,ORD,1039
all,IAH,MTJ,60
all,ORD,EGE,64
all,SAN,SFO,880
all,MKE,PHX,352
all,CHS,IAD,180
all,IND,RSW,172
all,AUS,BNA,104
all,ABQ,LAS,263
all,COS,IAH,258
all,DEN,EUG,96
all,ASE,IAH,56
all,CVG,PHL,32
all,JFK,RDU,371
all,DEN,BIS,208
all,CVG,PHX,56
all,LAS,MAF,56
all,STL,LGA,206
all,PNS,MIA,112
all,MSP,LGA,545
all,BWI,STL,203
all,SBP,LAX,326
all,GSP,DFW,216
all,ATL,MLI,222
all,SBA,LAX,706
all,ATL,MLU,158
all,PSP,SEA,152
all,BOS,STL,112
all,CLT,FLL,448
all,PHX,MSP,676
all,LGA,PHL,52
all,BIL,DEN,220
all,CLE,DAY,96
all,ORD,MHT,64
all,DEN,RSW,32
all,DFW,TUL,446
all,BOI,OAK,106
all,DFW,TUS,419
all,SDF,MSP,76
all,SLC,CVG,112
all,AUS,SLC,96
all,ABQ,BWI,56
all,TUL,ORD,434
all,PHL,MEM,63
all,DTW,SLC,224
all,ATL,BNA,386
all,AUS,BOS,56
all,SEA,JFK,228
all,LAS,OGG,16
all,MCO,MSP,325
all,JFK,PBI,408
all,CLT,PVD,248
all,MCO,MSY,224
all,RDU,ORD,443
all,MCI,SAN,103
all,RNO,SAN,109
all,FWA,CVG,2
all,IND,MDW,159
all,DEN,FCA,56
all,AVL,EWR,52
all,SLC,LAX,759
all,LGA,ORD,1618
all,SLC,LAS,789
all,SNA,PHX,808
all,PHL,IAH,250
all,XNA,IAH,170
all,PDX,SMF,314
all,MEM,ECP,101
all,PIA,DEN,50
all,ALB,TPA,56
all,TUL,LAX,35
all,PHL,RSW,248
all,BWI,MDW,312
all,MSP,MOT,202
all,PIT,MSP,28
all,OAK,OGG,32
all,MEM,PNS,69
all,DTW,IND,168
all,MCO,DFW,544
all,CLT,LGA,770
all,AUS,DEN,358
all,ORD,BDL,382
all,LAX,HNL,784
all,CLT,IAD,453
all,RNO,DEN,285
all,BOS,SFO,374
all,DTW,MCI,130
all,LAN,ORD,195
all,EWR,PIT,128
all,DFW,FWA,112
all,LEX,DTW,4
all,LIT,IAH,306
all,FAI,ANC,410
all,IAH,SDF,177
all,BDL,LAS,56
all,SIT,KTN,56
all,ORD,RAP,56
all,CLE,SJU,12
all,ATL,HSV,522
all,MSP,FLL,125
all,STL,IAH,159
all,GJT,PHX,144
all,DAL,TUL,256
all,DFW,MAF,168
all,MIA,CVG,224
all,HOU,LAX,208
all,IAD,JAX,183
all,BNA,SLC,56
all,CAK,TPA,56
all,DTW,PHX,448
all,LEX,ORD,322
all,ISP,MCO,224
all,MDW,PHX,363
all,DEN,LNK,160
all,ALB,ATL,113
all,RSW,ATL,676
all,LGA,BOS,1732
all,BFL,DEN,56
all,ATL,MSY,800
all,MKE,PIT,168
all,MEM,CLE,54
all,CVG,DFW,294
all,MKE,PIE,52
all,DEN,ATL,838
all,MCO,SYR,80
all,CLT,FAY,50
all,SLC,MCI,152
all,PHX,TEX,104
all,DFW,RAP,56
all,RSW,CLT,355
all,BNA,SAN,56
all,JFK,ORF,56
all,EWR,MEM,185
all,IAH,SAT,556
all,BNA,SAT,103
all,MEM,SHV,154
all,BUF,MDW,166
all,RSW,CLE,105
all,MKE,RSW,166
all,HOU,TPA,214
all,ROW,DFW,160
all,BWI,ROC,112
all,IAH,GRR,108
all,HLN,MSP,2
all,GPT,IAH,254
all,IAD,SJU,152
all,MIA,BNA,168
all,CLE,MSY,34
all,SAN,PDX,168
all,STL,SLC,57
all,SFO,RNO,308
all,EGE,ATL,56
all,IND,SRQ,44
all,CLE,ORF,56
all,ORD,HSV,212
all,MEM,LFT,112
all,JAX,TPA,155
all,BWI,RSW,248
all,DFW,RSW,168
all,CVG,LAS,88
all,SLC,PHL,98
all,DFW,CAE,168
all,AUS,TPA,56
all,HOU,MCO,219
all,BOS,DCA,1567
all,SLC,PHX,975
all,DFW,JFK,57
all,CLT,PWM,56
all,BTV,MCO,56
all,JFK,CLE,56
all,LAS,SJC,432
all,BUR,DEN,112
all,BOI,SFO,224
all,ATL,SYR,123
all,BUF,EWR,65
all,DFW,CSG,112
all,DTW,ABE,4
all,GEG,MSP,104
all,DFW,TYR,110
all,MSY,LAX,200
all,ATL,XNA,230
all,CLE,RIC,134
all,ORD,SPI,258
all,FNT,TPA,44
all,PHX,TUL,109
all,IND,MIA,112
all,LGA,ATL,1615
all,ANC,HNL,56
all,MKE,MCO,372
all,DCA,STL,352
all,ORD,OKC,409
all,PHX,EWR,348
all,MCO,PSE,56
all,ATL,UTM,32
all,MDW,DEN,672
all,CLE,PBI,56
all,CLE,DFW,346
all,ONT,PHX,702
all,DTW,ORF,56
all,DTW,ORD,877
all,DCA,RDU,382
all,SFO,BUR,280
all,PSE,JFK,46
all,SAN,SMF,586
all,RNO,DFW,150
all,FAI,BRW,56
all,DTW,TUL,102
all,ANC,BET,160
all,ATL,MOB,440
all,ORD,SFO,838
all,GRR,MCO,56
all,SLC,DEN,1218
all,BHM,ORD,160
all,EWR,BQN,54
all,LIT,EWR,48
all,DEN,PHL,406
all,SHV,IAH,124
all,DEN,PHF,24
all,DEN,PHX,1381
all,SFO,GEG,112
all,PHL,TPA,442
all,SNA,MSP,146
all,EWR,MSP,272
all,ORF,MIA,112
all,AUS,FLL,112
all,DAL,MCI,521
all,BNA,IAD,140
all,CLE,DTW,2
all,BOI,ORD,69
all,BNA,IAH,352
all,BZN,ORD,83
all,BPT,IAH,2
all,SLC,BZN,220
all,MDW,SLC,108
all,SFO,SEA,710
all,EWR,SFO,328
all,BNA,LGA,212
all,AVL,IAH,48
all,SJC,PHX,577
all,GTF,SLC,152
all,AUS,ATL,310
all,SJU,ATL,364
all,MDW,SNA,56
all,ATL,IAH,696
all,DEN,LAX,1383
all,SEA,KOA,80
all,DEN,GJT,341
all,DEN,LAS,1221
all,PDX,SNA,224
all,STL,DEN,354
all,CVG,SFO,48
all,RNO,SJC,157
all,ATL,PVD,158
all,CVG,BWI,24
all,FLL,LEX,24
all,MKE,ATL,556
all,DFW,GPT,168
all,SAT,ORD,229
all,FAR,ORD,357
all,MIA,BOS,392
all,EWR,MTJ,14
all,HNL,SFO,372
all,PHX,ABQ,744
all,ATL,LFT,156
all,MEM,MOB,160
all,BWI,GRR,111
all,ATL,HPN,324
all,SAN,EWR,160
all,LAX,FLL,48
all,ONT,SJC,261
all,DEN,MEM,158
all,MKE,TPA,136
all,DFW,ABI,382
all,RIC,DFW,166
all,IAH,DAY,108
all,BWI,MCI,103
all,CLE,PVD,92
all,BWI,MCO,673
all,ATL,DHN,214
all,RDU,STL,56
all,MRY,PHX,116
all,PBI,DCA,164
all,IAD,SYR,193
all,BUR,DFW,208
all,DFW,CRP,434
all,MCO,RDU,168
all,DFW,LRD,216
all,SJC,ATL,46
all,LAX,DTW,301
all,DFW,ABQ,444
all,SYR,CLT,160
all,BMI,ORD,112
all,BNA,HOU,205
all,BMI,RSW,14
all,JFK,LAS,548
all,HSV,DEN,90
all,CLT,STT,64
all,JFK,LAX,1395
all,ORD,GRB,488
all,SFO,MFR,300
all,DEN,OGG,28
all,SAT,TPA,56
all,ORD,PNS,72
all,CVG,DEN,62
all,COS,SLC,108
all,HSV,IAD,104
all,ATL,TYS,384
all,BUF,TPA,92
all,CHA,ATL,518
all,DAL,STL,413
all,ICT,IAH,234
all,MCI,MDW,488
all,FLL,PVD,120
all,FLL,MCO,275
all,BWI,SRQ,44
all,FLL,MCI,56
all,ATL,ONT,56
all,GUM,SPN,2
all,MCO,PWM,64
all,ORD,SEA,633
all,MSP,LAS,368
all,BUR,SMF,405
all,BUF,ATL,436
all,SLC,IDA,264
all,DEN,PIT,96
all,PHL,MIA,360
all,IAH,HSV,142
all,ADQ,ANC,104
all,AMA,IAH,198
all,ABQ,MAF,56
all,SLC,SEA,534
all,AUS,LBB,94
all,MEM,SEA,36
all,BHM,MSY,101
all,PSC,SLC,224
all,ORD,HPN,172
all,BWI,PBI,248
all,LAX,ATL,722
all,FLL,TPA,426
all,DAB,CLT,98
all,CMH,EWR,169
all,IAD,ATL,769
all,CAK,ATL,529
all,MDW,ONT,56
all,PHX,PVD,56
all,LAS,OAK,439
all,LCH,IAH,54
all,OGG,PHX,56
all,SEA,DTW,160
all,DEN,SGF,69
all,BHM,BWI,152
all,MCI,DFW,436
all,HOU,SAN,104
all,ORD,MTJ,72
all,BOS,CLT,619
all,SEA,JNU,112
all,BUR,LAS,652
all,PIT,PHX,170
all,DCA,JAX,100
all,EWR,SYR,22
all,MQT,TVC,48
all,CRP,HOU,248
all,MEM,PHX,212
all,CLT,PBI,336
all,IND,CLT,80
all,IAH,RSW,150
all,BTM,SLC,104
all,EWR,DFW,544
all,MKE,ORD,450
all,IAH,BHM,302
all,IND,CLE,39
all,LIT,ATL,440
all,FAT,SLC,152
all,MIA,DEN,176
all,BWI,FLL,420
all,TPA,CVG,112
all,RKS,SLC,112
all,SEA,HNL,248
all,SNA,DEN,637
all,MYR,CLT,204
all,GJT,LAX,1
all,DCA,MEM,146
all,MHT,PHL,251
all,RSW,STL,56
all,SJC,HNL,56
all,MHT,PHX,56
all,MKE,IND,160
all,MSP,RAP,184
all,LGA,PBI,320
all,ALB,CLE,64
all,CLT,MCO,548
all,CLT,MCI,160
all,MIA,EWR,448
all,EGE,DFW,136
all,ALB,CLT,112
all,DFW,SEA,547
all,HOU,PHX,205
all,SJC,DFW,318
all,HOU,PHL,56
all,PSC,DEN,160
all,MHT,TPA,113
all,OGG,ANC,24
all,MDW,SMF,56
all,ATL,EWN,112
all,ATL,EWR,824
all,ICT,ORD,410
all,SJC,MSP,96
all,BOI,PHX,112
all,GSO,ATL,300
all,FLL,PIT,88
all,CRW,ORD,206
all,BOS,RSW,392
all,LAS,ATL,585
all,IPL,LAX,77
all,BHM,PHX,56
all,OAK,RNO,157
all,STL,SFO,56
all,DCA,BNA,253
all,ORD,CID,313
all,IAD,MCO,446
all,CLT,JFK,307
all,IAH,CHS,120
all,ATL,PWM,81
all,MSP,DTW,466
all,FAT,PHX,232
